url,Name,Abbrivation,Price,Change % 1D,Change 1D,High 1D,Low 1D,Technical Rating 1D
https://www.tradingview.com/markets/indices/quotes-all/,PHLX SEMICONDUCTOR,SOX,3744.96,+0.33%,12.16,3804.90,3736.30,Buy
https://www.tradingview.com/markets/indices/quotes-all/,PHLX GOLD AND SILVER SECTOR INDEX,XAU,116.02,+0.46%,0.53,116.34,115.03,Buy
https://www.tradingview.com/markets/indices/quotes-all/,STOXX 600,SXXP,458.48,+0.27%,1.23,458.73,457.10,Buy
https://www.tradingview.com/markets/indices/quotes-all/,NYSE ARCA MAJOR MARKET INDEX,XMI,3219.9526,+0.52%,16.7530,3225.6827,3203.1995,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,IBEX 35,IBEX35,9905.51,+0.18%,18.10,9921.00,9873.90,Buy
https://www.tradingview.com/markets/indices/quotes-all/,HANG SENG INDEX,HSI,17910.85,+0.99%,176.24,17927.36,17577.31,Buy
https://www.tradingview.com/markets/indices/quotes-all/,THOMSON REUTERS/CORECOMMODITY CRB INDEX,TRJEFFCRB,275.1066,−0.70%,−1.9510,277.0576,275.1066,Sell
https://www.tradingview.com/markets/indices/quotes-all/,NYSE COMPOSITE,NYA,15907.8936,+0.29%,46.3254,15920.3860,15856.2956,Buy
https://www.tradingview.com/markets/indices/quotes-all/,VOLATILITY S&P 500,VIX,12.86,−3.60%,−0.48,13.25,12.82,Strong sell
https://www.tradingview.com/markets/indices/quotes-all/,DOW JONES INDUSTRIAL AVERAGE,DJI,35273.04,+0.53%,184.74,35315.20,35155.80,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,SWISS MARKET INDEX,SSMI,10851.61,+0.18%,19.21,10853.52,10806.18,Buy
https://www.tradingview.com/markets/indices/quotes-all/,Netherlands 25,NL25EUR,763.540,+0.15%,1.165,764.565,760.875,Buy
https://www.tradingview.com/markets/indices/quotes-all/,Germany 30,DE30EUR,16013.0,+0.11%,17.4,16013.0,15995.6,Buy
